,citypair,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,revenue,Aircraft_Unit_Cost ($ millions USD),Aircraft_Inverse_Age 1/age (1/yrs),Number_of_Cancellations,Proportion of Seats filled,Aircraft Age (yrs),Origin_Airport_Code,Destination_Airport_Code,origin_airport_type,origin_lat,origin_long,origin_city,dest_airport_type,dest_lat,dest_long,dest_city,Route_Distance,origin_population,origin_density,dest_population,dest_density,score
16,AUS-MCO,74,79,10230,11798,58.26030948,52.6777639,14527086,16967,74,0.090909091,5,0.867096118,11,AUS,MCO,large_airport,30.197535,-97.662015,Austin,large_airport,28.42939949,-81.30899811,Orlando,993.7090775,1659251,1165.6,1927699,992,20.67857897
17,AUS-MDW,289,311,38231,42863,56.59477769,53.00822626,14229909,16207,74,0.090909091,22,0.891934769,11,AUS,MDW,large_airport,30.197535,-97.662015,Austin,large_airport,41.785999,-87.752403,Chicago,971.4415926,1659251,1165.6,8595181,4576.6,22.13572088
18,AUS-PHX,252,263,34826,41060,57.42754359,52.84299508,9585665,11058,74,0.090909091,11,0.848173405,11,AUS,PHX,large_airport,30.197535,-97.662015,Austin,large_airport,33.435302,-112.005905,Phoenix,872.0389294,1659251,1165.6,4047095,1251.8,22.67079114
19,BDL-BWI,643,679,67315,92621,58.26030948,52.6777639,14527086,16967,74,0.090909091,36,0.726779024,11,BDL,BWI,medium_airport,41.93851,-72.688066,Hartford,large_airport,39.1754,-76.668297,Baltimore,283.183184,907046,2722.5,2205092,2872.8,17.2076188
20,BDL-DEN,46,50,7075,8050,57.42754359,52.84299508,9585665,11058,74,0.090909091,4,0.878881988,11,BDL,DEN,medium_airport,41.93851,-72.688066,Hartford,large_airport,39.86169815,-104.6729965,Denver,1671.049811,907046,2722.5,2650725,1805.7,18.78647383
21,BDL-MCO,275,294,35115,42973,56.59477769,53.00822626,14229909,16207,74,0.090909091,19,0.817140996,11,BDL,MCO,medium_airport,41.93851,-72.688066,Hartford,large_airport,28.42939949,-81.30899811,Orlando,1049.984834,907046,2722.5,1927699,992,17.03741153
22,BDL-MDW,196,216,24022,29500,56.59477769,53.00822626,14229909,16207,74,0.090909091,20,0.814305085,11,BDL,MDW,medium_airport,41.93851,-72.688066,Hartford,large_airport,41.785999,-87.752403,Chicago,776.2687423,907046,2722.5,8595181,4576.6,17.67205935
23,BHM-MCO,172,173,19537,24596,54.9292459,53.33868862,4644244,5149,74,0.090909091,1,0.794316149,11,BHM,MCO,medium_airport,33.562901,-86.753502,Birmingham,large_airport,28.42939949,-81.30899811,Orlando,478.8570215,704676,1713.4,1927699,992,27.87279033
24,BNA-BWI,642,682,67760,97182,56.92788405,52.94213379,23815574,27265,74,0.090909091,40,0.697248462,11,BNA,BWI,large_airport,36.12450027,-86.67819977,Nashville,large_airport,39.1754,-76.668297,Baltimore,587.4263796,1098486,541.3,2205092,2872.8,16.14297457
25,BNA-DEN,520,537,73291,82744,56.92788405,52.94213379,23815574,27265,74,0.090909091,17,0.885756067,11,BNA,DEN,large_airport,36.12450027,-86.67819977,Nashville,large_airport,39.86169815,-104.6729965,Denver,1013.477943,1098486,541.3,2650725,1805.7,28.48441388
26,BNA-MCO,522,534,71094,79286,56.59477769,53.00822626,14229909,16207,74,0.090909091,12,0.89667785,11,BNA,MCO,large_airport,36.12450027,-86.67819977,Nashville,large_airport,28.42939949,-81.30899811,Orlando,616.1061031,1098486,541.3,1927699,992,28.94007128
27,BNA-MDW,599,659,66462,88345,57.42754359,52.84299508,19171330,22116,74,0.090909091,60,0.75230064,11,BNA,MDW,large_airport,36.12450027,-86.67819977,Nashville,large_airport,41.785999,-87.752403,Chicago,394.7904153,1098486,541.3,8595181,4576.6,17.7429206
28,BNA-PHX,405,413,55948,64091,56.92788405,52.94213379,23815574,27265,74,0.090909091,8,0.87294628,11,BNA,PHX,large_airport,36.12450027,-86.67819977,Nashville,large_airport,33.435302,-112.005905,Phoenix,1448.244115,1098486,541.3,4047095,1251.8,30.32749649
29,BNA-SAT,146,147,16760,20878,54.9292459,53.33868862,4644244,5149,74,0.090909091,1,0.802758885,11,BNA,SAT,large_airport,36.12450027,-86.67819977,Nashville,large_airport,29.533701,-98.469803,San Antonio,821.753717,1098486,541.3,1910785,1633.5,26.96547862
30,BOI-DEN,161,166,19643,23535,56.59477769,53.00822626,14229909,16207,74,0.090909091,5,0.834629276,11,BOI,DEN,medium_airport,43.5644,-116.223,Boise,large_airport,39.86169815,-104.6729965,Denver,648.9035942,422665,1047.5,2650725,1805.7,24.15144066
31,BOS-BWI,840,901,97984,129752,56.92788405,52.94213379,23815574,27265,74,0.090909091,61,0.755163697,11,BOS,BWI,large_airport,42.3643,-71.005203,Boston,large_airport,39.1754,-76.668297,Baltimore,369.563078,4208580,5505.8,2205092,2872.8,18.79700109
32,BOS-DEN,172,200,26183,28980,57.42754359,52.84299508,19171330,22116,74,0.090909091,28,0.903485162,11,BOS,DEN,large_airport,42.3643,-71.005203,Boston,large_airport,39.86169815,-104.6729965,Denver,1754.048061,4208580,5505.8,2650725,1805.7,22.65495084
33,BOS-MDW,287,331,38332,45393,56.92788405,52.94213379,23815574,27265,74,0.090909091,44,0.844447382,11,BOS,MDW,large_airport,42.3643,-71.005203,Boston,large_airport,41.785999,-87.752403,Chicago,860.6796664,4208580,5505.8,8595181,4576.6,20.69189033
34,BUF-BWI,481,519,54229,71983,56.92788405,52.94213379,23815574,27265,74,0.090909091,38,0.753358432,11,BUF,BWI,large_airport,42.94049835,-78.73220062,Buffalo,large_airport,39.1754,-76.668297,Baltimore,281.2684227,1004655,2446.1,2205092,2872.8,18.4234895
35,BUF-MCO,363,378,48098,52901,56.59477769,53.00822626,14229909,16207,74,0.090909091,15,0.909207765,11,BUF,MCO,large_airport,42.94049835,-78.73220062,Buffalo,large_airport,28.42939949,-81.30899811,Orlando,1010.759109,1004655,2446.1,1927699,992,26.70500182
36,BUF-MDW,206,227,26237,30546,57.42754359,52.84299508,19171330,22116,74,0.090909091,21,0.858934067,11,BUF,MDW,large_airport,42.94049835,-78.73220062,Buffalo,large_airport,41.785999,-87.752403,Chicago,468.3046648,1004655,2446.1,8595181,4576.6,21.57638764
37,BUF-PHX,73,82,11191,12775,57.42754359,52.84299508,9585665,11058,74,0.090909091,9,0.876007828,11,BUF,PHX,large_airport,42.94049835,-78.73220062,Buffalo,large_airport,33.435302,-112.005905,Phoenix,1911.353335,1004655,2446.1,4047095,1251.8,18.73794367
38,BUR-DEN,197,203,24954,28939,56.59477769,53.00822626,14229909,16207,74,0.090909091,6,0.862296555,11,BUR,DEN,medium_airport,34.197703,-118.356378,Burbank,large_airport,39.86169815,-104.6729965,Denver,850.0757045,107364,2634.1,2650725,1805.7,25.3680486
39,BUR-MDW,81,88,8872,11583,57.42754359,52.84299508,9585665,11058,74,0.090909091,7,0.765950099,11,BUR,MDW,medium_airport,34.197703,-118.356378,Burbank,large_airport,41.785999,-87.752403,Chicago,1739.889031,107364,2634.1,8595181,4576.6,15.19708043
40,BUR-PDX,60,61,6442,8580,54.9292459,53.33868862,4644244,5149,74,0.090909091,1,0.750815851,11,BUR,PDX,medium_airport,34.197703,-118.356378,Burbank,large_airport,45.58869934,-122.5979996,Portland,817.2622664,107364,2634.1,2036875,1881.6,19.87350234
41,BUR-PHX,638,663,72393,92738,56.59477769,53.00822626,14229909,16207,74,0.090909091,25,0.780618517,11,BUR,PHX,medium_airport,34.197703,-118.356378,Burbank,large_airport,33.435302,-112.005905,Phoenix,369.0283526,107364,2634.1,4047095,1251.8,22.18843125
42,BWI-ABQ,63,67,6567,9009,54.9292459,53.33868862,4644244,5149,74,0.090909091,4,0.728937729,11,BWI,ABQ,large_airport,39.1754,-76.668297,Baltimore,medium_airport,35.040199,-106.609001,Albuquerque,1670.23777,2205092,2872.8,765693,1155.5,10.77435839
43,BWI-ALB,391,418,42802,58473,54.9292459,53.33868862,9288488,10298,74,0.090909091,27,0.731995964,11,BWI,ALB,large_airport,39.1754,-76.668297,Baltimore,medium_airport,42.74829865,-73.80169678,Albany,288.522944,2205092,2872.8,604077,4345.3,13.96111298
44,BWI-ATL,605,662,67367,89171,57.42754359,52.84299508,19171330,22116,74,0.090909091,57,0.755481042,11,BWI,ATL,large_airport,39.1754,-76.668297,Baltimore,large_airport,33.6367,-84.428101,Atlanta,576.5626254,2205092,2872.8,5046555,1419.9,17.06994889
45,BWI-AUS,158,182,21334,27650,56.59477769,53.00822626,14229909,16207,74,0.090909091,24,0.771573237,11,BWI,AUS,large_airport,39.1754,-76.668297,Baltimore,large_airport,30.197535,-97.662015,Austin,1341.466222,2205092,2872.8,1659251,1165.6,14.72038169
46,BWI-BDL,651,688,68908,93829,56.59477769,53.00822626,14229909,16207,74,0.090909091,37,0.734399812,11,BWI,BDL,large_airport,39.1754,-76.668297,Baltimore,medium_airport,41.93851,-72.688066,Hartford,283.183184,2205092,2872.8,907046,2722.5,16.74141945
47,BWI-BHM,71,73,6271,10153,54.9292459,53.33868862,4644244,5149,74,0.090909091,2,0.617649956,11,BWI,BHM,large_airport,39.1754,-76.668297,Baltimore,medium_airport,33.562901,-86.753502,Birmingham,681.9661022,2205092,2872.8,704676,1713.4,13.94462845
48,BWI-BNA,637,670,66179,94387,57.42754359,52.84299508,19171330,22116,74,0.090909091,33,0.701145285,11,BWI,BNA,large_airport,39.1754,-76.668297,Baltimore,large_airport,36.12450027,-86.67819977,Nashville,587.4263796,2205092,2872.8,1098486,541.3,16.84012556
49,BWI-BOS,841,907,106180,129511,56.92788405,52.94213379,23815574,27265,74,0.090909091,66,0.81985314,11,BWI,BOS,large_airport,39.1754,-76.668297,Baltimore,large_airport,42.3643,-71.005203,Boston,369.563078,2205092,2872.8,4208580,5505.8,20.93295922
50,BWI-BUF,476,518,52792,69700,56.92788405,52.94213379,23815574,27265,74,0.090909091,42,0.757417504,11,BWI,BUF,large_airport,39.1754,-76.668297,Baltimore,large_airport,42.94049835,-78.73220062,Buffalo,281.2684227,2205092,2872.8,1004655,2446.1,18.32100798
51,BWI-CHS,284,295,30776,42852,56.59477769,53.00822626,14229909,16207,74,0.090909091,11,0.71819285,11,BWI,CHS,large_airport,39.1754,-76.668297,Baltimore,medium_airport,32.898602,-80.040497,Charleston,472.0732471,2205092,2872.8,685517,875.3,19.18572803
52,BWI-CLE,208,231,23648,30672,56.59477769,53.00822626,14229909,16207,74,0.090909091,23,0.770996348,11,BWI,CLE,large_airport,39.1754,-76.668297,Baltimore,large_airport,41.4117012,-81.84980011,Cleveland,314.1641476,2205092,2872.8,1683059,1904,16.5001696
53,BWI-CLT,289,306,30442,41327,57.42754359,52.84299508,9585665,11058,74,0.090909091,17,0.736612868,11,BWI,CLT,large_airport,39.1754,-76.668297,Baltimore,large_airport,35.2140007,-80.94309998,Charlotte,360.7970562,2205092,2872.8,1516107,1091,15.70625864
54,BWI-CMH,341,346,34237,50971,56.59477769,53.00822626,14229909,16207,74,0.090909091,5,0.67169567,11,BWI,CMH,large_airport,39.1754,-76.668297,Baltimore,large_airport,39.998001,-82.891899,Columbus,336.9529008,2205092,2872.8,1556848,1559.5,23.57907987
55,BWI-DAL,440,465,59906,70088,56.92788405,52.94213379,23815574,27265,74,0.090909091,25,0.854725488,11,BWI,DAL,large_airport,39.1754,-76.668297,Baltimore,medium_airport,32.847099,-96.851799,Dallas,1208.599033,2205092,2872.8,5668165,1522.2,21.47393718
56,BWI-DEN,470,495,69901,78666,56.17839474,53.09084185,18874153,21356,74,0.090909091,25,0.888579564,11,BWI,DEN,large_airport,39.1754,-76.668297,Baltimore,large_airport,39.86169815,-104.6729965,Denver,1490.96248,2205092,2872.8,2650725,1805.7,23.39913812
57,BWI-ECP,26,27,2817,3718,59.92584127,52.34730154,4941421,5909,74,0.090909091,1,0.757665412,11,BWI,ECP,large_airport,39.1754,-76.668297,Baltimore,medium_airport,30.357106,-85.795414,Panama City Beach,798.4862582,2205092,2872.8,17882,254.7,17.84091063
58,BWI-FLL,939,982,115162,144005,56.17839474,53.09084185,18874153,21356,74,0.090909091,43,0.799708343,11,BWI,FLL,large_airport,39.1754,-76.668297,Baltimore,large_airport,26.072599,-80.152702,Fort Lauderdale,925.2746669,2205092,2872.8,182247,2029.7,21.04164377
59,BWI-GRR,81,85,8597,11583,54.9292459,53.33868862,4644244,5149,74,0.090909091,4,0.742208409,11,BWI,GRR,large_airport,39.1754,-76.668297,Baltimore,medium_airport,42.88079834,-85.52279663,Grand Rapids,528.2532701,2205092,2872.8,604311,1719.6,14.26502598
60,BWI-HOU,334,362,49810,57298,56.17839474,53.09084185,18874153,21356,74,0.090909091,28,0.86931481,11,BWI,HOU,large_airport,39.1754,-76.668297,Baltimore,medium_airport,29.645399,-95.2789,Houston,1245.943788,2205092,2872.8,5650910,1394.6,19.78256508
61,BWI-IND,238,252,28380,34034,57.42754359,52.84299508,9585665,11058,74,0.090909091,14,0.83387201,11,BWI,IND,large_airport,39.1754,-76.668297,Baltimore,large_airport,39.7173,-86.294403,Indianapolis,515.9800965,2205092,2872.8,1659305,928.2,18.62599674
62,BWI-ISP,441,456,40084,65655,56.59477769,53.00822626,14229909,16207,74,0.090909091,15,0.610524713,11,BWI,ISP,large_airport,39.1754,-76.668297,Baltimore,medium_airport,40.79520035,-73.10019684,Islip,219.8580968,2205092,2872.8,17853,,18.51386568
63,BWI-JAX,384,395,46636,57376,57.42754359,52.84299508,19171330,22116,74,0.090909091,11,0.81281372,11,BWI,JAX,large_airport,39.1754,-76.668297,Baltimore,large_airport,30.49410057,-81.68789673,Jacksonville,662.663311,2205092,2872.8,1220191,686.6,25.15249903
64,BWI-LAS,434,458,68512,75406,57.42754359,52.84299508,19171330,22116,74,0.090909091,24,0.908574914,11,BWI,LAS,large_airport,39.1754,-76.668297,Baltimore,large_airport,36.083361,-115.151817,Las Vegas,2105.741207,2205092,2872.8,2150373,1754.7,24.89725829
65,BWI-LAX,306,336,47406,51854,56.17839474,53.09084185,18874153,21356,74,0.090909091,30,0.914220697,11,BWI,LAX,large_airport,39.1754,-76.668297,Baltimore,large_airport,33.942501,-118.407997,Los Angeles,2328.996883,2205092,2872.8,12121244,3267.6,24.18361298
66,BWI-MCI,177,188,21135,26399,57.42754359,52.84299508,19171330,22116,74,0.090909091,11,0.800598508,11,BWI,MCI,large_airport,39.1754,-76.668297,Baltimore,large_airport,39.2976,-94.713898,Kansas City,966.5279313,2205092,2872.8,1644497,602.6,18.78182686
67,BWI-MCO,1043,1093,135705,163485,56.17839474,53.09084185,18874153,21356,74,0.090909091,50,0.830076154,11,BWI,MCO,large_airport,39.1754,-76.668297,Baltimore,large_airport,28.42939949,-81.30899811,Orlando,786.9842637,2205092,2872.8,1927699,992,22.4363159
68,BWI-MDW,658,726,78638,98030,57.42754359,52.84299508,19171330,22116,74,0.090909091,68,0.802183005,11,BWI,MDW,large_airport,39.1754,-76.668297,Baltimore,large_airport,41.785999,-87.752403,Chicago,610.6195849,2205092,2872.8,8595181,4576.6,18.8898159
69,BWI-MEM,18,20,1789,3150,59.92584127,52.34730154,4941421,5909,74,0.090909091,2,0.567936508,11,BWI,MEM,large_airport,39.1754,-76.668297,Baltimore,large_airport,35.04240036,-89.97669983,Memphis,787.3827203,2205092,2872.8,1034498,1267.6,7.266210714
70,BWI-MHT,581,603,64750,87531,56.92788405,52.94213379,23815574,27265,74,0.090909091,22,0.739737921,11,BWI,MHT,large_airport,39.1754,-76.668297,Baltimore,medium_airport,42.932598,-71.435699,Manchester,376.592219,2205092,2872.8,167568,1388.9,22.22825468
71,BWI-MSY,292,308,38287,44316,56.17839474,53.09084185,18874153,21356,74,0.090909091,16,0.863954328,11,BWI,MSY,large_airport,39.1754,-76.668297,Baltimore,large_airport,29.99340057,-90.25800323,New Orleans,998.3876695,2205092,2872.8,925443,891.2,21.40024782
72,BWI-OAK,70,74,9914,10778,54.9292459,53.33868862,9288488,10298,74,0.090909091,4,0.919836704,11,BWI,OAK,large_airport,39.1754,-76.668297,Baltimore,large_airport,37.721298,-122.221001,Oakland,2446.672506,2205092,2872.8,437548,2917.1,21.82117672
73,BWI-ORF,451,466,47565,67117,56.92788405,52.94213379,23815574,27265,74,0.090909091,15,0.708687814,11,BWI,ORF,large_airport,39.1754,-76.668297,Baltimore,medium_airport,36.8946,-76.201202,Norfolk,159.3572861,2205092,2872.8,238556,1770.5,23.76260764
74,BWI-PBI,410,425,53149,62310,56.59477769,53.00822626,14229909,16207,74,0.090909091,15,0.85297705,11,BWI,PBI,large_airport,39.1754,-76.668297,Baltimore,large_airport,26.68320084,-80.09559631,West Palm Beach,883.4152376,2205092,2872.8,115877,796.4,23.88894091
75,BWI-PHX,272,298,39774,45552,56.17839474,53.09084185,18874153,21356,74,0.090909091,26,0.873155954,11,BWI,PHX,large_airport,39.1754,-76.668297,Baltimore,large_airport,33.435302,-112.005905,Phoenix,1998.319422,2205092,2872.8,4047095,1251.8,20.77378196
76,BWI-PIT,288,299,28991,41664,56.59477769,53.00822626,14229909,16207,74,0.090909091,11,0.695828533,11,BWI,PIT,large_airport,39.1754,-76.668297,Baltimore,large_airport,40.49150085,-80.23290253,Pittsburgh,210.1990713,2205092,2872.8,1720279,2100.7,20.8752607
77,BWI-PVD,537,570,60363,80567,57.42754359,52.84299508,19171330,22116,74,0.090909091,33,0.749227351,11,BWI,PVD,large_airport,39.1754,-76.668297,Baltimore,large_airport,41.725038,-71.425668,Warwick,327.4947933,2205092,2872.8,82666,894,17.81905535
78,BWI-PWM,273,284,29618,39647,56.59477769,53.00822626,14229909,16207,74,0.090909091,11,0.747042651,11,BWI,PWM,large_airport,39.1754,-76.668297,Baltimore,large_airport,43.646198,-70.309303,Portland,451.7777003,2205092,2872.8,2036875,1881.6,20.58029262
79,BWI-RDU,612,634,70080,91004,56.92788405,52.94213379,23815574,27265,74,0.090909091,22,0.770076041,11,BWI,RDU,large_airport,39.1754,-76.668297,Baltimore,large_airport,35.87760162,-78.78749847,Raleigh/Durham,255.4653068,2205092,2872.8,110943,,24.37095526
80,BWI-ROC,244,255,29354,34988,56.59477769,53.00822626,14229909,16207,74,0.090909091,11,0.838973362,11,BWI,ROC,large_airport,39.1754,-76.668297,Baltimore,medium_airport,43.1189,-77.672401,Rochester,277.1192276,2205092,2872.8,737309,2276.9,23.61916844
81,BWI-RSW,444,454,55107,65796,54.9292459,53.33868862,13932732,15447,74,0.090909091,10,0.837543316,11,BWI,RSW,large_airport,39.1754,-76.668297,Baltimore,large_airport,26.53619957,-81.75520325,Fort Myers,919.4338674,2205092,2872.8,84694,809.2,24.5890555
82,BWI-SAN,247,274,39243,41881,57.42754359,52.84299508,19171330,22116,74,0.090909091,27,0.93701201,11,BWI,SAN,large_airport,39.1754,-76.668297,Baltimore,large_airport,32.73360062,-117.1900024,San Diego,2294.961293,2205092,2872.8,3084174,1675.9,25.60205917
83,BWI-SAT,256,273,32407,41664,56.92788405,52.94213379,23815574,27265,74,0.090909091,17,0.77781778,11,BWI,SAT,large_airport,39.1754,-76.668297,Baltimore,large_airport,29.533701,-98.469803,San Antonio,1407.152521,2205092,2872.8,1910785,1633.5,18.30242283
84,BWI-SDF,299,310,29833,44421,57.42754359,52.84299508,19171330,22116,74,0.090909091,11,0.671596767,11,BWI,SDF,large_airport,39.1754,-76.668297,Baltimore,large_airport,38.1744,-85.736,Louisville,494.935862,2205092,2872.8,1022630,936.9,19.72703671
85,BWI-SJU,76,83,12256,13300,54.9292459,53.33868862,4644244,5149,74,0.090909091,7,0.921503759,11,BWI,SJU,large_airport,39.1754,-76.668297,Baltimore,medium_airport,18.4395,-65.9992,San Juan,7794.162024,2205092,2872.8,1915105,2982.2,18.65345734
86,BWI-SMF,1,3,173,175,54.9292459,53.33868862,4644244,5149,74,0.090909091,2,0.988571429,11,BWI,SMF,large_airport,39.1754,-76.668297,Baltimore,large_airport,38.69540024,-121.5910034,Sacramento,2395.122819,2205092,2872.8,1924167,1971.3,16.4256419
87,BWI-STL,385,405,44941,59439,56.92788405,52.94213379,23815574,27265,74,0.090909091,20,0.756086071,11,BWI,STL,large_airport,39.1754,-76.668297,Baltimore,large_airport,38.748697,-90.370003,St Louis,737.8024944,2205092,2872.8,300887,,18.57757304
88,BWI-TPA,797,842,93705,123955,56.92788405,52.94213379,23815574,27265,74,0.090909091,45,0.755959824,11,BWI,TPA,large_airport,39.1754,-76.668297,Baltimore,large_airport,27.97550011,-82.53320313,Tampa,842.2724036,2205092,2872.8,2683956,1340.7,18.52922569
89,CHS-BWI,234,243,23729,33462,54.9292459,53.33868862,4644244,5149,74,0.090909091,9,0.709132748,11,CHS,BWI,medium_airport,32.898602,-80.040497,Charleston,large_airport,39.1754,-76.668297,Baltimore,472.0732471,685517,875.3,2205092,2872.8,15.39184297
90,CHS-MDW,169,177,19502,25479,56.59477769,53.00822626,14229909,16207,74,0.090909091,8,0.765414655,11,CHS,MDW,medium_airport,32.898602,-80.040497,Charleston,large_airport,41.785999,-87.752403,Chicago,744.8835955,685517,875.3,8595181,4576.6,20.17605947
91,CLE-BWI,250,271,27182,36838,56.59477769,53.00822626,14229909,16207,74,0.090909091,21,0.737879364,11,CLE,BWI,large_airport,41.4117012,-81.84980011,Cleveland,large_airport,39.1754,-76.668297,Baltimore,314.1641476,1683059,1904,2205092,2872.8,15.89119905
92,CLE-DEN,84,89,12698,13868,54.9292459,53.33868862,9288488,10298,74,0.090909091,5,0.915633112,11,CLE,DEN,large_airport,41.4117012,-81.84980011,Cleveland,large_airport,39.86169815,-104.6729965,Denver,1200.966955,1683059,1904,2650725,1805.7,21.78759957
93,CLE-MDW,453,483,49272,66731,56.17839474,53.09084185,18874153,21356,74,0.090909091,30,0.738367475,11,CLE,MDW,large_airport,41.4117012,-81.84980011,Cleveland,large_airport,41.785999,-87.752403,Chicago,306.8012954,1683059,1904,8595181,4576.6,18.30979245
94,CLE-PHX,118,129,18255,20650,56.59477769,53.00822626,14229909,16207,74,0.090909091,11,0.88401937,11,CLE,PHX,large_airport,41.4117012,-81.84980011,Cleveland,large_airport,33.435302,-112.005905,Phoenix,1737.099524,1683059,1904,4047095,1251.8,20.61062818
95,CLT-BWI,312,329,32321,45320,56.59477769,53.00822626,14229909,16207,74,0.090909091,17,0.713172992,11,CLT,BWI,large_airport,35.2140007,-80.94309998,Charlotte,large_airport,39.1754,-76.668297,Baltimore,360.7970562,1516107,1091,2205092,2872.8,16.3675762
96,CMH-BWI,284,293,29337,43524,56.59477769,53.00822626,14229909,16207,74,0.090909091,9,0.674041908,11,CMH,BWI,large_airport,39.998001,-82.891899,Columbus,large_airport,39.1754,-76.668297,Baltimore,336.9529008,1556848,1559.5,2205092,2872.8,20.09975891
